"Page ID","Page name","Data comment",Date,"Unique user engagements","Overall negative feedback","Overall negative feedback: Hide all","Overall negative feedback: Hide","Overall negative feedback: Report as spam","Overall negative feedback: Unlike Page","Overall negative feedback: Click X button","Unique negative feedback from users"
106988502241648,"3M Lounge",,02/10/2026,620,0,0,0,0,0,0,0
106988502241648,"3M Lounge",,02/11/2026,443,0,0,0,0,0,0,0
106988502241648,"3M Lounge",,02/12/2026,343,0,0,0,0,0,0,0
106988502241648,"3M Lounge",,02/13/2026,426,0,0,0,0,0,0,0
106988502241648,"3M Lounge",,02/14/2026,146,0,0,0,0,0,0,0
106988502241648,"3M Lounge",,02/15/2026,88,0,0,0,0,0,0,0
106988502241648,"3M Lounge",,02/16/2026,47,0,0,0,0,0,0,0
106988502241648,"3M Lounge",,02/17/2026,45,0,0,0,0,0,0,0
106988502241648,"3M Lounge",,02/18/2026,65,0,0,0,0,0,0,0
106988502241648,"3M Lounge",,02/19/2026,51,0,0,0,0,0,0,0
106988502241648,"3M Lounge",,02/20/2026,148,0,0,0,0,0,0,0
106988502241648,"3M Lounge",,02/21/2026,279,0,0,0,0,0,0,0
106988502241648,"3M Lounge",,02/22/2026,319,0,0,0,0,0,0,0
106988502241648,"3M Lounge",,02/23/2026,354,0,0,0,0,0,0,0
106988502241648,"3M Lounge",,02/24/2026,459,0,0,0,0,0,0,0
106988502241648,"3M Lounge",,02/25/2026,259,0,0,0,0,0,0,0
106988502241648,"3M Lounge",,02/26/2026,343,0,0,0,0,0,0,0
106988502241648,"3M Lounge",,02/27/2026,863,0,0,0,0,0,0,0
106988502241648,"3M Lounge",,02/28/2026,257,0,0,0,0,0,0,0
106988502241648,"3M Lounge",,03/01/2026,66,0,0,0,0,0,0,0
106988502241648,"3M Lounge",,03/02/2026,25,0,0,0,0,0,0,0
106988502241648,"3M Lounge",,03/03/2026,53,0,0,0,0,0,0,0
106988502241648,"3M Lounge",,03/04/2026,28,0,0,0,0,0,0,0
106988502241648,"3M Lounge",,03/05/2026,146,0,0,0,0,0,0,0
106988502241648,"3M Lounge",,03/06/2026,203,0,0,0,0,0,0,0
106988502241648,"3M Lounge",,03/07/2026,521,0,0,0,0,0,0,0
106988502241648,"3M Lounge",,03/08/2026,257,0,0,0,0,0,0,0
106988502241648,"3M Lounge",,03/09/2026,185,0,0,0,0,0,0,0
106988502241648,"3M Lounge",,03/10/2026,251,0,0,0,0,0,0,0
106988502241648,"3M Lounge",,03/11/2026,252,0,0,0,0,0,0,0
106988502241648,"3M Lounge",,03/12/2026,134,0,0,0,0,0,0,0
106988502241648,"3M Lounge",,03/13/2026,124,0,0,0,0,0,0,0
106988502241648,"3M Lounge",,03/14/2026,245,0,0,0,0,0,0,0
106988502241648,"3M Lounge",,03/15/2026,111,0,0,0,0,0,0,0
106988502241648,"3M Lounge",,03/16/2026,153,0,0,0,0,0,0,0
