Post ID,Account ID,Account username,Account name,Description,Duration (sec),Publish time,Permalink,Post type,Data comment,Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
17987597036929103,17841467003410365,3m.lounge,3M Lounge,"⁨	مرحبا بكم في 3M Lounge 🤍
وين الديكور يهبّل، الجو دافي، والضحكة ديما حاضرة في قلب دندان.

#3M_Lounge #MarhbaBikom #Denden #LaManouba #Tunis #Tn #TunisianVibes #welcomebaby⁩",27,02/11/2026 09:00,https://www.instagram.com/reel/DUoA72hDciE/,IG reel,,Lifetime,1925,13685,13,3,2,0,1
18081861761006791,17841467003410365,3m.lounge,3M Lounge,"نودّك ولا نشهّيك.. 🤤البنّة.. ملّخر! 😍
السعادة هي كريب 3M Lounge.

#3M_Lounge #Crepe  #Denden  #كريب #بنة #دندان",0,02/15/2026 11:23,https://www.instagram.com/p/DUykdpRjheu/,IG image,,Lifetime,465,15735,13,0,0,0,0
18121596466600319,17841467003410365,3m.lounge,3M Lounge,"هلّ هلالو.. ومحلاها أياماتو! 🌙🕌

رمضان مبروك على الناس الكل، ربي يحييكم لأمثالو بالخير والهناء. ❤️
استناونا في سهرات و ""جو"" رمضاني سبيسيال في 3M Lounge. ☕✨

#Romdhan2026 #RamadanVibes #Sahriya #Denden #Manouba #JawTunisi #سنين_دايمة",0,02/18/2026 09:56,https://www.instagram.com/p/DU6I7D6Dsw4/,IG image,,Lifetime,133,67,3,0,0,0,0
18015174692654058,17841467003410365,3m.lounge,3M Lounge,"⁨	السرّ الكل في البنّة! 😍
هذي موش أي كونافة، هذي حاجة Luxe وعلى أصولها. مخدومة بفنّ باش تعطيك الطعم الأصلي اللي يخليك ترجعلو ديما.
ما تحكيش برشا، خلي التصويرة تحكي وحدها.. والذواقة يعرفوا الثنية! 📍🏃‍♂️
#Kunefe #OriginalTaste #BennaLuxe #KunefeLovers #3M_Lounge #Denden #Manouba #TunisianFoodies #SurLaMouche #كونافة #بنة_تونسية #على_أصولها⁩",26,02/21/2026 08:01,https://www.instagram.com/reel/DVBqFhHESpn/,IG reel,,Lifetime,2296,11817,27,5,4,0,2
18065022368652000,17841467003410365,3m.lounge,3M Lounge,"سهرية رمضان ما تكملش بلا جواجم! 🌙🥜
 جواجم.. Overdose متاع 3M Lounge  بالجودة العالية،  بنّة فوق البنّة!
والي جرّب، يعرف على واش نحكيو. 🌙✨
#Overdose #Jawajim #SahriyaRamadan #Romdhan2026 #3M_Lounge #Denden #Manouba #جواجم #سهرية_رمضان #دندان",0,02/21/2026 10:00,https://www.instagram.com/p/DVB3zwwiNax/,IG image,,Lifetime,210,101,1,1,0,0,0
18120866050582174,17841467003410365,3m.lounge,3M Lounge,"⁨	🌙 سهرية رمضان ما تكملش بلا Overdose! 🥜🔥
رمضان من غير سهرية ناقص، وسهرية  من غير جواجم ما تحلاش! 🤫
بنّة تكلّم روحها.. والتصويرة تحكي وحدها. 👀
#Overdose #Jawajim #SahriyaRamadan #Romdhan2026 #3M_Lounge #Denden #Manouba #جواجم #سهرية_رمضان #رمضان #دندان #TunisianVibes⁩",37,02/25/2026 12:00,https://www.instagram.com/reel/DVMYq7-ghEq/,IG reel,,Lifetime,652,2587,10,3,1,0,1
17955958934931530,17841467003410365,3m.lounge,3M Lounge,"🧀✨ السرّ الكل في البنّة! 😍

هذي موش أي كونافة..
هذي حاجة Luxe وعلى أصولها. 🍯
مخدومة بفنّ وبقلب، باش تعطيك الطعم الأصلي اللي يخليك ترجعلو ديما. 🔥

واللي جرّب، يعرف على شنو نحكيو. 🤫👀

#Kunefe #Kounefa #OriginalTaste #BennaLuxe #KunefeLovers #3M_Lounge #Denden #Manouba #TunisianFoodies #SurLaMouche #كونافة #بنة_تونسية #على_أصولها #رمضان #Romdhan2026",0,02/27/2026 19:30,https://www.instagram.com/p/DVSVuRPlJgS/,IG image,,Lifetime,108,49,2,0,0,0,0
18006068348697037,17841467003410365,3m.lounge,3M Lounge,"⁨	⁨	🥞✨ كريب؟ عندنا كل الأنواع وكل البنّة
كل النكهات، كل البنّة، وكل مرّة تجربة جديدة. 🍓🍫🧀
واللي جرّب، يعرف على شنو نحكيو. 🤫👀
📍 3M Lounge – Denden, Manouba
#Crepe #CrepeLover #AllFlavors #BennaLuxe #3M_Lounge #Denden #Manouba #TunisianFoodies #كريب #بنّة #دندان #رمضان #Romdhan2026 #SurLaMouche⁩⁩",39,03/03/2026 10:01,https://www.instagram.com/reel/DVbnxsGD0tc/,IG reel,,Lifetime,439,301,9,1,0,0,0
18014685677827125,17841467003410365,3m.lounge,3M Lounge,"🌙🍲 شقان الفطر في 3M Lounge.. بنّة تونسية على أصولها! 😍

منيو نهار الجمعة والسبت حاضر كل ما تشتهي العين. 🍗🥗
وما نسيناش الطلبة.. دلّلناكم بسوم سبيسيال (20dt برك)! 🎓🔥

الريزرفاسيون لازمة (📞 20.133.482).. والذواقة يعرفوا الثنية. 🤫👀

📍 3M Lounge – Denden, Manouba

#Iftar #MenuIftar #Romdhan2026 #BennaLuxe #3M_Lounge Denden Manouba TunisianFoodies شقان_الفطر رمضان بنّة دندان",0,03/05/2026 10:14,https://www.instagram.com/p/DVgy3ISjGEi/,IG carousel,,Lifetime,261,75,2,0,0,0,0
18067924406283326,17841467003410365,3m.lounge,3M Lounge,"💚🥞 الفستق مش زينة.. الفستق بنّة! 😍
موش كل الكريب يستاهل الكلام.. هذا واحد من اللي يستاهلو. ✨
التصويرة تحكي وحدها.. والذواقة يفهموا. 👀🤫
📍 3M Lounge – Denden, Manouba
#Crepe #CrepePistachio #Pistache #BennaLuxe #3M_Lounge #Denden #Manouba #TunisianFoodies #كريب #فستق #بنّة #دندان #Romdhan2026 #SurLaMouche",0,03/06/2026 07:40,https://www.instagram.com/p/DVjGB0cEuA-/,IG image,,Lifetime,132,63,4,0,0,0,0
